# Graph for Java/GraphStream
# Nodes: 35
# Edges: 405

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Memphis Depay | Riqui Puig | 1 | 27 | 3
EDGE Memphis Depay | Sergio Agüero | 2 | 27 | 2
EDGE Luuk de Jong | Óscar Mingueza | 4 | 10 | 14
EDGE Luuk de Jong | Nico González | 4 | 10 | 17
EDGE Luuk de Jong | Philippe Coutinho | 1 | 10 | 5
EDGE Luuk de Jong | Samuel Umtiti | 1 | 10 | 1
EDGE Luuk de Jong | Ousmane Dembélé | 3 | 10 | 18
EDGE Luuk de Jong | Riqui Puig | 1 | 10 | 3
EDGE Luuk de Jong | Ilias Akhomach | 1 | 10 | 3
EDGE Luuk de Jong | Yusuf Demir | 1 | 10 | 3
EDGE Luuk de Jong | Clément Lenglet | 1 | 10 | 11
EDGE Ousmane Dembélé | Pierre-Emerick Aubameyang | 10 | 18 | 18
EDGE Ousmane Dembélé | Samuel Umtiti | 1 | 18 | 1
EDGE Ousmane Dembélé | Nico González | 3 | 18 | 17
EDGE Ousmane Dembélé | Óscar Mingueza | 1 | 18 | 14
EDGE Ousmane Dembélé | Clément Lenglet | 3 | 18 | 11
EDGE Ousmane Dembélé | Neto | 1 | 18 | 4
EDGE Nico González | Adama Traoré | 2 | 17 | 9
EDGE Nico González | Óscar Mingueza | 9 | 17 | 14
EDGE Nico González | Philippe Coutinho | 4 | 17 | 5
EDGE Nico González | Samuel Umtiti | 1 | 17 | 1
EDGE Nico González | Clément Lenglet | 4 | 17 | 11
EDGE Nico González | Yusuf Demir | 1 | 17 | 3
EDGE Nico González | Ilias Akhomach | 3 | 17 | 3
EDGE Nico González | Riqui Puig | 2 | 17 | 3
EDGE Nico González | Neto | 1 | 17 | 4
EDGE Nico González | Pierre-Emerick Aubameyang | 2 | 17 | 18
EDGE Nico González | Ansu Fati | 2 | 17 | 4
EDGE Nico González | Sergio Agüero | 2 | 17 | 2
EDGE Ansu Fati | Óscar Mingueza | 3 | 4 | 14
EDGE Ansu Fati | Clément Lenglet | 2 | 4 | 11
EDGE Pierre-Emerick Aubameyang | Clément Lenglet | 2 | 18 | 11
EDGE Pierre-Emerick Aubameyang | Adama Traoré | 6 | 18 | 9
EDGE Pierre-Emerick Aubameyang | Óscar Mingueza | 3 | 18 | 14
EDGE Pierre-Emerick Aubameyang | Alejandro Balde | 1 | 18 | 2
EDGE Pierre-Emerick Aubameyang | Riqui Puig | 1 | 18 | 3
EDGE Neto | Martin Braithwaite | 2 | 4 | 3
EDGE Neto | Antoine Griezmann | 2 | 4 | 3
EDGE Neto | Óscar Mingueza | 1 | 4 | 14
EDGE Neto | Riqui Puig | 1 | 4 | 3
EDGE Neto | Ilias Akhomach | 1 | 4 | 3
EDGE Martin Braithwaite | Antoine Griezmann | 3 | 3 | 3
EDGE Martin Braithwaite | Clément Lenglet | 1 | 3 | 11
EDGE Martin Braithwaite | Emerson Royal | 1 | 3 | 1
EDGE Antoine Griezmann | Clément Lenglet | 1 | 3 | 11
EDGE Antoine Griezmann | Emerson Royal | 1 | 3 | 1
EDGE Adama Traoré | Clément Lenglet | 1 | 9 | 11
EDGE Adama Traoré | Óscar Mingueza | 1 | 9 | 14
EDGE Óscar Mingueza | Philippe Coutinho | 2 | 14 | 5
EDGE Óscar Mingueza | Ilias Akhomach | 3 | 14 | 3
EDGE Óscar Mingueza | Riqui Puig | 3 | 14 | 3
EDGE Óscar Mingueza | Yusuf Demir | 1 | 14 | 3
EDGE Óscar Mingueza | Clément Lenglet | 4 | 14 | 11
EDGE Óscar Mingueza | Alejandro Balde | 1 | 14 | 2
EDGE Óscar Mingueza | Sergio Agüero | 1 | 14 | 2
EDGE Philippe Coutinho | Sergio Agüero | 1 | 5 | 2
EDGE Philippe Coutinho | Alejandro Balde | 1 | 5 | 2
EDGE Philippe Coutinho | Yusuf Demir | 1 | 5 | 3
EDGE Philippe Coutinho | Clément Lenglet | 1 | 5 | 11
EDGE Clément Lenglet | Yusuf Demir | 1 | 11 | 3
EDGE Clément Lenglet | Emerson Royal | 1 | 11 | 1
EDGE Clément Lenglet | Alejandro Balde | 1 | 11 | 2
EDGE Clément Lenglet | Riqui Puig | 1 | 11 | 3
EDGE Yusuf Demir | Alejandro Balde | 1 | 3 | 2
EDGE Ilias Akhomach | Riqui Puig | 2 | 3 | 3
EDGE Riqui Puig | Alejandro Balde | 1 | 3 | 2
