# Graph for Java/GraphStream
# Nodes: 29
# Edges: 344

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Arnaut Danjuma | Giovani Lo Celso | 3 | 10 | 16
EDGE Arnaut Danjuma | Filip Jørgensen | 1 | 10 | 6
EDGE Arnaut Danjuma | Adrián Dela | 1 | 10 | 5
EDGE Arnaut Danjuma | Alberto Moreno | 4 | 10 | 17
EDGE Nicolas Jackson | Étienne Capoue | 11 | 20 | 23
EDGE Nicolas Jackson | Giovani Lo Celso | 9 | 20 | 16
EDGE Nicolas Jackson | Filip Jørgensen | 2 | 20 | 6
EDGE Nicolas Jackson | Alberto Moreno | 4 | 20 | 17
EDGE Nicolas Jackson | Adrián Dela | 2 | 20 | 5
EDGE Étienne Capoue | Giovani Lo Celso | 9 | 23 | 16
EDGE Étienne Capoue | Filip Jørgensen | 3 | 23 | 6
EDGE Étienne Capoue | Alberto Moreno | 10 | 23 | 17
EDGE Giovani Lo Celso | Alberto Moreno | 4 | 16 | 17
EDGE Filip Jørgensen | Alberto Moreno | 3 | 6 | 17
EDGE Filip Jørgensen | Adrián Dela | 3 | 6 | 5
